concept,meaning,category,fullName
프로젝트 규모,"비용, 인력, 기간 등 프로젝트 규모가 서로 다른 경우 고려할 테일러링 내부적 기준",소프트웨어 개발 방법론 테일러링,
보유 기술,"프로세스, 개발 방법론, 산출물, 구성원의 능력이 서로 다른 경우 고려할 테일러링 내부적 기준",소프트웨어 개발 방법론 테일러링,
법적 제약상황,프로젝트별 적용될 IT Compliance 가 서로 다른 경우 고려할 테일러링 외부적 기준,소프트웨어 개발 방법론 테일러링,
표준 품질 기준,"금융, 제도 등 분야별 표준 품질 기준이 서로 다른 경우 고려할 테일러링 외부적 기준",소프트웨어 개발 방법론 테일러링,
IT Compliance,기업 운영 시 IT분야에서 내외부적으로 반드시 지켜야하는 법적 규제 사항이나 지침을 의미합니다.,소프트웨어 개발 방법론 테일러링,
프로젝트 규모와 복잡도,"가장 일반적 기법, 프로젝트 규모를 프로젝트 기간, 작업 범위, 참여 인원 등에 따라 대,중,소로 구분하고 업무 난이도에 따라 복잡도를 상, 중, 하로 구분하는 기법",소프트웨어 개발 방법론 테일러링,
프로젝트 구성원,프로젝트에 참여하는 구성원들의 기술적 숙련도와 방법론의 이해 정도를 확인하여 테일러링 수준을 결정하는 기법,소프트웨어 개발 방법론 테일러링,
팀내 방법론 지원,프로젝트 수행 시 각 팀별로 방법론 담당 인력을 배정하여 팀의 방법론 교육과 프로젝트 전체의 방법론 운영을 위한 의사소통을 담당하도록 인력을 구성하는 기법,소프트웨어 개발 방법론 테일러링,
자동화,프로젝트 수행 시 작업 부하를 줄이기 위해 중간 단계에서의 산출물을 자동화 도구를 사용하여 산출할 수 있도록 지원하는 기법,소프트웨어 개발 방법론 테일러링,
프레임워크,"소프트웨어 개발에 공통적으로 사용되는 구성 요소와 아키텍처를 일반화하여 손쉽게 구현할 수 있도록 여러 가지 기능을 제공해주는 반제품 형태의 소프트웨어 시스템, 사업자 종속성이 해소됨, 이미 내장된 클래스 라이브러리가 구현되어 있음",소프트웨어 개발 프레임워크,
모듈화,"프레임워크는 캡슐화를 통해 ___를 강화하고 설계 및 구현의 변경에 따른 영향을 최소화함으로써 소프트웨어의 품질을 향상시키고, 개발표준에 의한 ___로 유지 보수가 용이하다",소프트웨어 개발 프레임워크,
재사용성,"프레임워크는 ___ 가능한 모듈을 제공함으로써 예산 절감, 생산성 향상, 품질 보증이 가능하다",소프트웨어 개발 프레임워크,
확장성,프레임워크는 다형성을 통한 인터페이스 ___이 가능하여 다양한 형태와 기능을 가진 애플리케이션 개발이 가능하다,소프트웨어 개발 프레임워크,
제어의 역전,개발자가 관리하고 통제해야하는 객체들의 제어를 프레임워크에 넘김으로써 생산성을 향상시킨다.,소프트웨어 개발 프레임워크,
다형성,메시지에 의해 객체가 연산을 수행하게 될 때 하나의 메시지에 대해 각가의 객체가 가지고 있는 고유한 방법으로 응답할 수 있는 능력을 의미함,소프트웨어 개발 프레임워크,
스프링 프레임워크,자바 플랫폼을 위한 오픈 소스 경량형 애플리케이션 프레임워크,소프트웨어 개발 프레임워크,
전자정부 프레임워크,우리나라의 공공부문 정보화 사업 시 효율적인 정보 시스템의 구축을 지원하기 위해 필요한 기능 및 아키텍처를 제공하는 프레임워크이다.,소프트웨어 개발 프레임워크,
닷넷 프레임워크,"Windows 프로그램의 개발 및 실행 환경을 제공하는 프레임워크로, Microsoft 사에서 통합 인터넷 전략을 위해 개발하였다. CLR 이라라는 이름의 가상머신 상에서 작동하고, 메모리 관리, 유형 및 메모리 안전성, 보안, 네트워크 작업 등 여러가지 서비스를 제공한다.",소프트웨어 개발 프레임워크,
지능형 초연결망,"과학기술정보통신부 주관으로 추진 중인 사업으로, 4차 산업혁명 시대를 맞아 새로운 변화에 따라 급격하게 증가하는 데이터 트래픽을 효과적으로 수용하기 위해 시행되는 정부 주관 사업, 국가 전체 망에 소프트웨어 정의기술(SDE)을 적용하는 방법으로 네트워크 데이터 트래픽 증가를 예상하고 이를 수용할 전략이다.",네트워크 관련 신기술,
소프트웨어 정의 기술,"네트워크, 데이터 센터 등에서 소유한 자원을 가상화하여 개별 사용자에게 제공하고, 중앙에서는 통합적으로 제어가 가능한 기술이다",네트워크 관련 신기술,Software-Defined Everything
소프트웨어 정의 네트워킹,"네트워크를 컴퓨터처럼 모델링하여 여러 사용자가 각각의 소프트웨어들로 네트워킹을 가상화하여 제어하고 관리하는 네트워크이다. 하드웨어에 의존하는 네트워크 체계에 비해 보다 효율적으로 네트워크를 제어, 관리할 수 있다.",네트워크 관련 신기술,Software Defined Networking
소프트웨어 정의 데이터 센터,데이터 센터의 모든 자원을 가상화하여 인력의 개입없이 소프트웨어 조작만으로 관리 및 제어되는 데이터 센터이다,네트워크 관련 신기술,Software Defined Data Center
소프트웨어 정의 스토리지,"물리적인 데이터 스토리지를 가상화하여 여러 스토리지를 하나처럼 관리하거나, 하나의 스토리지를 여러 스토리지로 나눠 사용할 수 있는 기술이다.",네트워크 관련 신기술,Software-Defined Storage
사물 인터넷,정보 통신 기술을 기반으로 실세계와 가상 세계의 다양한 사물들을 인터넷으로 서로 연결하여 진보된 서비스를 제공하기 위한 서비스 기반 기술이다. 유비쿼터스 공간을 구현하기 위한 컴퓨팅 기기들이 환경과 사물에 심겨 환경이나 사물 그 자체가 지능화되는 것,네트워크 관련 신기술,Internet of Things
유비쿼터스,"라틴어로 '보편적으로 존재하다'라는 의미로, 사용자가 컴퓨터나 네트워크를 의식하지 않고 장소에 상관없이 자유롭게 네트워크에 접속할 수 있는 환경을 의미한다.",네트워크 관련 신기술,Ubiquitous
M2M,"무선 통신을 이용한 기계와 기계 사이의 통신이다. 변압기 원격 감시, 전기, 가스 등의 원격 검침, 무선 신용카드 조회기, 무선 보안 단말기 등",네트워크 관련 신기술,Machine to Machine
메시 네트워크,"차세대 이동통신, 홈네트워킹, 공공 안전 등 특수 목적을 위한 네트워크, 수십에서 수천 개의 디바이스를 그물망 같이 유기적으로 연결하여 모든 구간을 동일한 무선망처럼 구성하여 사용자가 안정적인 네트워크를 사용할 수 있게 한다.",네트워크 관련 신기술,Mesh Network
와이선,"스마트 그리드와 같은 장거리 무선 통신을 필요로 하는 사물 인터넷 서비스를 위한 저전력 장거리 통신 기술, 낮은 지연 속도, 메시 네트워크 기반 확장성, 펌웨어 업그레이드 용이성 등으로 짧은 시간 동안 데이터 전송이 빈범한 검침 분야에 유용",네트워크 관련 신기술,Wi-SUN
UMB,"짧은 거리에서 많은 양의 디지털 데이터를 낮은 전력으로 전송하기 위한 무선 기술로 무선 디지털 펄스라고도 하며, 블루투스와 비교되는 기술, 땅속이나 벽면 뒤로도 전송이 가능하여 재해에도 인명 구조 가능하다",네트워크 관련 신기술,Ultra WideBand
PICONET,여러 개의 독립된 통신장치가 블루투스 기술이나 UMB 통신 기술을 사용하여 통신망을 형성하는 무선 네트워크 기술이다.,네트워크 관련 신기술,
USN,각종 센서로 다양한 정보를 무선으로 수집할 수 있도록 구성한 네트워크이다.,네트워크 관련 신기술,Ubiquitous Sensor Network
SON,"주변 상황에 맞추어 스스로 망을 구성하는 네트워크를 말한다. 갑작스러운 사용자의 증가나 감소 시에는 자동으로 주변 셀과의 협력을 통해 셀 용량을 변화시키며, 장애가 발생했을 때 자체적인 치유도 가능함",네트워크 관련 신기술,Self Organizing Network
BLE,"일반 블루투스와 동일한 2.4Ghz 주파수 대역을 사용하지만 연결되지 않은 대기 상태에서는 절전 모드를 유지하는 기술, 주로 낮은 전력으로 저용량 데이터를 처리하는 시계, 장난감, 비컨, 웨어러블 디바이스에 적합",네트워크 관련 신기술,Bluetooth Low Energy
NFC,"고주파를 이용한 근거리 무선 통신 기술로, 아주 가까운 거리에서 양방향 통신을 지원하는 RFID 기술의 일종, 13.56MHz 주파수를 이용해 10cm 내에서 최고 424Kbps 속도로 데이터 전송을 지원한다.",네트워크 관련 신기술,Near Field Communication
스마트 그리드,전기의 생산부터 소비까지의 전 과정에 정보통신 기술을 접목하여 에너지 효율성을 높이는 지능형 전력망 시스템,네트워크 관련 신기술,Smart Grid
RFID,사물에 전자 태그를 부착하고 무선 통신을 이용하여 사물의 정보 및 주변 정보를 감지하는 센서 기술,네트워크 관련 신기술,Radio Frequency IDentification
클라우드 컴퓨팅,각종 컴퓨터 자원을 중앙 컴퓨터에 두고 인터넷 기능을 갖는 단말기로 언제 어디서나 인터넷을 통해 컴퓨터 작업을 수행할 수 있는 환경을 의미한다. ,네트워크 관련 신기술,
모바일 클라우딩 컴퓨팅,모바일 기기로 클라우드 컴퓨팅 인프라를 구성하여 여러 가지 정보와 자원을 공유하는 기술,네트워크 관련 신기술,
인터클라우드 컴퓨팅,각기 다른 클라우드 서비스를 연동하거나 컴퓨팅 자원의 동적 할당이 가능하도록 여러 클라우드 서비스 제공자들이 제공하는 클라우드 서비스나 자원을 연결하는 기술,네트워크 관련 신기술,
대등 접속,클라우드 서비스 제공자 간 직접 연계하는 인터클라우드 컴퓨팅 형태,네트워크 관련 신기술,Peering
연합,자원 공유를 기본으로 사용 요구량에 따른 동적 자원 할당을 지원함으로써 논리적으로 하나의 서비스를 제공하는 인터클라우드 컴퓨팅 형태,네트워크 관련 신기술,Federation
중개,서비스 제공자 간의 직∙간접적인 자원 연계 또는 단일 서비스 제공자를 통한 중개 서비스를 제공하는 인터클라우드 컴퓨팅 형태,네트워크 관련 신기술,Intermediary
클라우드 기반 HSM,"클라우드를 기반으로 암호화 키의 생성, 저장, 처리 등의 작업을 수행하는 보안 기기를 가리키는 용어, 클라우드에 인증서를 저장하므로 스마트폰과 같은 개별 기기에서 인증서를 저장할 필요가 없다. 암호키 생성은 하드웨어적으로 구현되기 때문에 소프트웨어 암호 기술의 한계를 극복할 수 있다.",네트워크 관련 신기술,Cloud-based Hardware Security Module
파스-타,"소프트웨어 개발 환경을 제공하기 위해 개발한 개방형 클라우드 컴퓨팅 플랫폼, 과기부와 한국정보화진흥원이 연구개발하여, 국내 IT 서비스 경쟁력 강화를 목표로 한다.",네트워크 관련 신기술,
징,10cm 이내 거리에서 3.5Gbps 속도의 데이터 전송이 가능한 초고속 근접무선통신이다.,네트워크 관련 신기술,Zing
NDN,콘텐츠 자체의 정보와 라우터 기능만으로 데이터 전송을 수행하는 기술,네트워크 관련 신기술,Named Data Networking
CCN,"콘텐츠 중심 네트워킹이란 뜻으로, 인터넷에서 IP 주소에 따른 데이터 전송에서 벗어나 사용자가 요구하는 콘텐츠 중심의 데이터 전달이 가능하다",네트워크 관련 신기술,Content Centric Networking
올-IP,"유선 전화망, 무선 망, 패킷 데이터 망 등 기존의 통신망을 모두 IP 기반의 망으로 통합한 차세대 네트워크",네트워크 관련 신기술,
NGN,ITU-T에서 개발하고 있는 유선망 기반의 차세대 통신망이다. 이동통신에서 제공하는 완전한 이동성과 하나의 망으로 모든 정보와 서비스를 패킷으로 압축하여 전송하는 것을 목표로 한다,네트워크 관련 신기술,Next Generation Network
WBANN,웨어러블 또는 몸에 심는 형태의 센서나 기기를 무선으로 연결하는 개인 영역 네트워킹 기술이다,네트워크 관련 신기술,Wireless Body Area Network
GIS,"지리적인 자료를 수집, 저장,분석, 출력할 수 있는 컴퓨터 응용 시스템으로 위성을 이용해 모든 사물의 위치 정보를 제공해주는 것을 말함",네트워크 관련 신기술,Geographic Information System
Ad-hoc Network,재난 현장과 같이 별도의 고정된 유선망을 구축할 수 없는 장소에서 모바일 호스트만을 이용하여 구성한 네트워크이다. 유선망과 기지국이 필요 없고 호스트의 이동에 따라 제약 없이 빠른 망 구성과 저렴한 비용이 장점,네트워크 관련 신기술,
P2P,"개인대 개인이라는 의미를 가지며, 네트워크에서 개인 대 개인이 PC를 이용하여 서로 데이터를 공유하는 방식을 의미",네트워크 관련 신기술,
네트워크 슬라이싱,"5G 핵심기술 중 하나로, 하나의 물리적인 네트워크를 다수의 가상 네트워크로 분리하여 각각의 네트워크를 통해 다양한 고객 맞춤형 서비스를 제공하는 것을 목적으로 하는 네트워크 기술이다",네트워크 관련 신기술,
파장 분할 다중화,"광섬유를 이용한 통신 기술의 하나로, 파장이 다른 광선끼리는 서로 간섭을 일으키지 않는 성질을 이용하여 서로 다른 복수의 신호를 보냄으로써 여러 대의 단말기가 동시에 통신 회선을 사용할 수 있도록 하는 기술",네트워크 관련 신기술,Wavelength Division Multiplexing
LOD,"Linked Data와 Open data의 합성어로, 누구나 사용할 수 있도록 웹상에 공개된 연계 데이터를 의미한다, 웹상에 존재하는 데이터를 개별 URI로 식별하고, 각 URI에 링크 정보를 부여함으로써 상호 연결된 웹을 지향하는 모형이다",네트워크 관련 신기술,Linked Open Data
SSO,한 번의 로그인으로 개인이 가입한 모든 사이트를 이용할 수 있게 해주는 시스템,네트워크 관련 신기술,Single Sign On
네트워크 설치 구조,"정보를 전달하기 위해서 통신 규약에 의해 연결된 통신 설비의 집합. 통신망을 구성하는 요소들을 공간적으로 배치하는 방법, 물리적 위치에 따라서 스타, 링, 버스, 트리, 메쉬 형으로 나뉨",네트워크 구축,
Star,"중앙에 컴퓨터가 있고, 이를 중심으로 단말장치들이 연결되는 중앙 집중식의 네트워크 구성 형태, Point to Point 방식, 중앙 컴퓨터가 고장나면 전체 통신망의 기능이 정지됨",네트워크 구축,
Ring,"컴퓨터와 단말장치들을 서로 이웃하는 것끼리 Point to Point 방식으로 연결, 어느 하나라도 고장 나면 전체 통신망에 영향을 미칠 수 있다.",네트워크 구축,
Bus,"한 개의 통신 회선에 여러 대의 단말장치가 연결되어 있는 형태, 물리적 구조가 간단하고 단말 장치의 추가와 제거 용이함",네트워크 구축,
Tree,"중앙 컴퓨터와 일정 지역의 단말장치까지는 하나의 통신 회선으로 연결시키고, 이웃하는 단말장치는 일정 지역 내에 설치된 중간 단말장치로부터 다시 연결시키는 형태",네트워크 구축,
Mesh,모든 지점의 컴퓨터와 단말장치를 서로 연결한 형태로 노드의 연결성이 높다.,네트워크 구축,
근거리 통신망,"주로 자원 공유 목적으로 가까운 거리에 있는 컴퓨터, 프린터, 테이프 등 자원 연결할 때 구성한다.",네트워크 구축,Local Area Network
광대역 통신망,국가와 국가 혹은 대륙과 대륙 등과 같이 멀리 떨어진 사이트들을 연결하여 구성한다. ,네트워크 구축,Wide Area Network
VLAN,"LAN의 물리적인 배치와 상관없이 논리적으로 분리하는 기술로, 접속된 장비들의 성능 및 보안을 향상시킬 수 있다.",네트워크 구축,Virtual Local Area Network
802.1,"전체의 구성, OSI 참조 모델과의 관계, 통신망 관리 등에 관한 규약",네트워크 구축,
802.2,논리 링크 제어 계층에 관한 규약,네트워크 구축,
802.3,CSMA/CD 방식의 매체 접근 제어 계층에 관한 규약,네트워크 구축,
802.4,토큰 버스 방식의 매체 접근 제어 계층에 관한 규약,네트워크 구축,
802.5,토큰 링 방식의 매체 접근 제어 계층에 관한 규약,네트워크 구축,
802.6,도시형 통신망(MAN)에 관한 규약,네트워크 구축,
802.9,종합 음성/데이터 네트워크에 관한 규약,네트워크 구축,
802.11,무선 LAN에 관한 규약,네트워크 구축,
CSMA/CA,무선 랜에서 데이터 전송 시 매체가 비어있음을 확인한 뒤 충돌을 피하기 위해 일정시간 기다린 후 데이터를 전송하는 방법,네트워크 구축,
802.11 초기,2.4GHz 대역 전파와 CSMA/CA 기술을 사용해 2Mbps까지의 전송 속도를 지원함,네트워크 구축,
802.11a,5GHz 대역 전파를 사용하여 OFDM 기술을 사용해 54Mbps까지의 전송 속도를 지원한다,네트워크 구축,
802.11b,"802.11 초기 개선안으로 등장하여, 초기 버전의 대역 전파에 비해 최고 11Mbps 전송 속도로 데이터를 전송하는 방법",네트워크 구축,
802.11e,"802.11의 부가 기능 표준으로, QoS 기능이 지원되도록하기 위해 매체 접근 제어(MAC) 계층에 해당하는 부분을 수정함",네트워크 구축,
802.11g,"2.4GHz 대역 전파를 사용하지만, 5GHz 대역 전파를 사용하는 802.11a 와 동일한 54Mbps까지의 전송 속도를 지원함",네트워크 구축,
802.11i,802.11의 보안 기능 표준으로 인증방식에 WPA/WPA2 를 사용한다.,네트워크 구축,
802.11n,2.4GHz 대역과 5GHz 대역을 사용하는 규격으로 최고 600Mbps 까지의 전송 속도를 지원한다.,네트워크 구축,
WPA,WI-FI에서 제정한 무선랜 인증 및 암호화 관련 표준,네트워크 구축,Wi-Fi Protected Access
WPA2,IEEE 802.11i 표준을 완전히 수용하지 못했던 WPA를 개선한 버전,네트워크 구축,Wi-Fi Protected Access 2
스위치,"브릿지와 같이 LAN과 LAN을 연결하여 훨씬 더 큰 LAN을 만드는 장치로 OSI 7계층의 Layer에 따라 L2, L3, L4, L7으로 분류한다.",스위치,
L1 switch,"Hub, 물리적으로 복사하여 프레임 전송",스위치,
L2 switch,"일반적으로 지칭하는 스위치, MAC 주소를 기반으로 프레임을 전송한다. 동일 네트워크 간의 연결만 가능하다",스위치,
L3 switch,"OSI 3계층 장비, IP 주소를 기반으로 패킷을 나눠준다, 서로 다른 네트워크 간의 연결이 가능하다",스위치,
L4 switch,"OSI 4계층 장비, 로드벨런서가 달린 L3 스위치로, IP 주소 및 TCP/UDP를 기반으로 사용자들의 요구를 서버의 부하가 적은 곳에 배분하는 기능 제공",스위치,
L7 switch,"OSI 7계층, IP 주소, TCP/UDP 포트 정보에 패킷 내용까지 참조하여 세밀하게 로드벨런싱 함",스위치,
프레임,"L2 스위치에는 패킷을 프레임이라고 함, Preamble, SFD, mac Destination Address, mac Source Address, EtherType, Data, PAD, CRC 로 구성, MTU 1500바이트, 거의 언제나 3계층 참조(20바이트)+TCP헤더(20바이트)를 포함여 형성함",스위치,
MTU,네트워크에 연결된 장치가 받아들일 수 있는 최대 데이터 패킷 크기,스위치,Maximum Transmission Unit
플러딩,"어떤 노드에서 온 하나의 패킷을 라우터에 접속되어 있는 다른 모든 노드로 전달하는 것, 네트워크에서 수정된 라우팅 정보를 모든 노드에 빠르게 배포하는 수단으로 주로 사용",스위치,Flooding
Store and Fowarding,데이터를 모두 받은 후 스위칭하는 스위치 방식,스위치,
Cut-through,데이터 목적지 주소만을 확인한 후 바로 스위칭하는 방식,스위치,
Fragment Free,"Store and Forwarding 과 Cut-through 방식의 장점을 결합한 방식으로, 전달 전에 프레임의 64byte를 기다린다. 일반적으로 프레임 에러는 거의 매번 처음 64Byte 안에 나타나기 때문에, 에러 체크 기능이 추가된다.",스위치,
Backbone Switch,"여러 네트워크들을 연결할 때 중추적 역할을 하는 네트워크를 부르는 말, 모든 패킷이 지나가는 네트워크의 중심에 배치한다. 주로 L3 스위치가 역할을 대신한다.",스위치,
Hierarchical 3 Layer Model,"네트워크 구성 시 사용되는 모델의 한 종류로, Access, Distribution, Core layer 로 구분하는 것",스위치,
Access Layer,"사용자가 네트워크에 접속할 때 최초로 연결되는 지점으로, 사용자들로부터 오는 통신을 집약하여 DIstribution layer 로 전송하는 역할, 주로 L2 switch를 사용함, 장비 성능은 낮아도 되지만, 포트 수는 사용자 수 만큼 필요하다.",스위치,
Distribution Layer,"액세스 계층의 장치들이 연결되는 지점으로 액세스 계층에서 오는 통신을 집약해서 코어 계층으로 전송함, LAN 간에 라우팅 기능을 수행함, 라우터, L3 스위치가 사용된다",스위치,
Core Layer,"디스트리뷰션 계층에서 오는 통신을 집약해 인터넷에 연결하는 계층, 백본 스위치를 사용함",스위치,
Routing,"경로 제어는 송∙수신 측 간의 전송 경로 중에서 최적 패킷 교환 경로를 결정하는 기능, 경로 제어표를 참조하여 이뤄지며, 이를 수행하는 기기가 라우터이다.",라우팅,
자율 시스템,하나의 도메인에 속하는 라우터들의 집합을 말함. 그러므로 하나의 자율 시스템에 속한다는 것은 하나의 도메인에 속한다는 것 의미함,라우팅,Autonomous System
경로 제어 프로토콜,"효율적인 경로 제어를 위해 네트워크 정보를 생성, 교환, 제어하는 프로토콜을 총칭함, IGP, EGP, BGP 가 있다.",경로 제어,
IGP,"하나의 자율 시스템 내의 라우팅에 사용되는 프로토콜이다. RIP, OSPF 가 있다.",경로 제어,Interior Gateway Protocol
RIP,"현재 가장 널리 사용되는 라우팅 프로토콜로 거리 벡터 라우팅 프로토콜이라고도 불리며, 최단 경로 탐색에 Bellman-Ford 알고리즘이 사용된다. 소규모 네트웨크 내에서 효율적인 방법으로, 최대 홉을 15로 제한하고,  30초마다 모든 네트워크 라우터에 라우터 정보를 보내며, 180초 내 응답하지 않으면, 해당 경로를 상태 이상으로 간주한다",경로 제어,Routing Information Protocol
OSPF,"RIP 단점을 해결하여 새로운 기능을 지원하는 인터넷 프로토콜로, 대규모 네트워크에서 사용된다. 인터넷 망에서 이용자가 최단 경로를 선정할 수 있도록 라우팅 정보에 노드 간의 거리 정보, 링크 상태 정보를 실시간 반영하여 라우팅 테이블을 형성, 라우팅 정보의 변화가 생길 경우 주변 모든 라우터에 알리고, 이를 다시 라우팅 테이블에 반영한다. 다익스트라 알고리즘을 사용한다.",경로 제어,
Bellman-Ford Algorithm,두 노드 간의 최단 경로를 구하는 알고리즘,경로 제어,
Dijkstra Algorithm,벨만포드 알고리즘에 비해 가중치가 음수인 경우도 처리할 수 있음,경로 제어,
홉,데이터가 목적지까지 전달되는 과정에서 거치는 네트워크의 수,경로 제어,
EGP,"자율 시스템 간의 라우팅, 즉 게이트웨이 간의 라우팅에 사용되는 프로토콜이다",경로 제어,Exterior Gateway Protocol
BGP,"자율 시스템 간의 라우팅 프로토콜로, EGP의 단점을 보완하기 위해 만들어졌음, 초기에 ___ 라우터들이 연결될 때에는 전체 경로 제어표를 교환하고 이후에는 변환된 정보만을 교환한다.",경로 제어,Border Gateway Protocol
트래픽 제어,"네트워크의 보호, 성능 유지, 네트워크 자원의 효율적인 이용을 위해 전송되는 패킷의 흐름 또는 그 양을 조절하는 기능으로 흐름 제어, 폭주 제어, 교착상태 방지 기법이 있음",경로 제어,
흐름 제어,"네트워크 내의 원활한 흐름을 위해 송수신 측 사이에 전송되는 패킷의 양이나 속도를 규제하는 기능, 송신 측과 수신 측 간의 처리 속도 또는 버퍼 크기의 차이에 의해 생길 수 있는 수신 측 오버플로를 방지하기 위함",경로 제어,
정지-대기,"수신 측의 확인 신호(ACK)를 받은 후에 다음 패킷을 전송하는 방식으로, 한 번에 하나의 패킷만 전송할 수 있음",경로 제어,Stop-and-Wait
슬라이딩 윈도우,"확인 신호, 즉 수신 통지를 이용하여 송신 데이터의 양을 조절하는 방식, 수신 측의 확인 신호를 받지 않더라도 미리 정해진 패킷의 수만큼 연속적으로 전송하는 방식으로 효율이 좋음. 미리 패킷의 최대치를 약속받아서 가능함. 이 패킷의 최대치가 윈도우 크기이다. 윈도우의 크기는 상황에 따라 변하므로, 응답에 대해 ACK or NAK 에 따라 윈도우 사이즈가 변한다",경로 제어,Sliding Window
폭주 제어,네트워크 내의 패킷 수를 조절하여 네트워크의 오버플로를 방지하는 기능이다.,경로 제어,Congestion Control
느린 시작,"윈도우 크기를 1,2,4 ∙ ∙ ∙ 2배수씩 지수적으로 증가시켜 초기엔 느리지만 갈수록 빨라지는 혼잡 제어 방식, 전송 데이터의 크기가 임계값에 도달하면 혼잡 회피 단계로 넘어간다",경로 제어,Slow Start
혼잡 회피,"느린 시작의 지수적 증가가 임계 값에 도달하면 혼잡으로 간주하고, 회피를 위해 윈도우의 크기를 1씩 선형적으로 증가시켜 혼잡을 예방하는 방식",경로 제어,Congestion Avoidance
교착 상태,"교환기 내 패킷들을 축적하는 기억 공간이 꽉 차있을 때, 다음 패킷들이 기억 공간을 들어가기 위해 무한정 기다리는 현상을 말함",경로 제어,Dead lock
교착 상태 방지,"평상시 패킷이 같은 목적지를 갖지 않도록 할당하고, 데드락이 걸렸을 때, 단말장치를 선택하여 패킷 버퍼를 폐기한다.",경로 제어,
인공지능,"인간의 두뇌와 같이 컴퓨터 스스로 추론, 학습, 판단 등 인간지능적인 작업을 수행하는 시스템",SW 관련 신기술,Artificial Intelligence
뉴럴링크,작은 전극을 뇌에 이식함으로써 생각을 업로드하고 다운로드하는 것을 목표로함,SW 관련 신기술,NeralLink
딥 러닝,인간의 두뇌를 모델로 만들어진 인공 신경망을 기반으로 하는 기계 학습 기술이다. 데이터를 정형화하지 않고도 스스로 필요한 데이터를 수집 분석하여 고속으로 처리할 수 있다.,SW 관련 신기술,Deep learning
전문가 시스템,"의료 진단 등과 같은 특정 분야의 전문가가 수행하는 고도의 업무를 지원하기 위한 컴퓨터 응용 프로그램이다, 지식 베이스라는 데이터베이스와 추론 기구를 통해 결정을 내리거나 문제를 해결한다.",SW 관련 신기술,Expert System
VR,컴퓨터 등을 사용하여 실제가 아닌 환경이나 상황을 구현한다.,SW 관련 신기술,Virtual Reality
AR,실제 촬영한 화면에 가상의 정보를 부가하여 보여주는 기술이다.,SW 관련 신기술,Augmented Reality
MR,가상현실과 현실 세계를 합쳐 현실의 물리적인 객체와 가상의 객체가 상호작용할 수 있는 환경을 구현하는 기술이다.,SW 관련 신기술,Mixed Reality
그레이웨어,"소프트웨어를 제공하는 입장에서는 악의적이지 않은 유용한 소프트웨어라고 주장할 수 있지만 사용자 입장에서는 악의적일 수도 있는 애드웨어, 트랙웨어, 악성 코드 등을 지칭한다.",SW 관련 신기술,Greyware
매시업,"웹에서 제공하는 정보 및 서비스를 이용하여 새로운 소프트웨어나 서비스, 데이터베이스 등을 만드는 기술이다.",SW 관련 신기술,Mashup
RIA,플래시 애니메이션 기술과 웹 서버 애플리케이션 기술을 통합하여 기존 HTML보다 역동적이고 인터렉티브한 웹페이지를 제공하는 신개념 플래시 웹페이지 제작 기술,SW 관련 신기술,Rich internet Application
시맨틱 웹,"컴퓨터가 사람을 대신하여 정보를 읽고 이해하고 가공하여 새로운 정보를 만들어 낼 수 있도록 이해하기 쉬운 의미를 가진 차세대 지능형 웹이다. 웹 자원을 서술하기 위한 자원 서술 기술, 온톨로지를 통한 지식 서술 기술, 통합적으로 에이전트 기술들을 들 수 있다.",SW 관련 신기술,semantic web
애드웨어,소프트웨어 자체에 광고를 포함하여 이를 보는 대가로 무료로 사용하는 소프트웨어,SW 관련 신기술,adware
트랙웨어,적절한 사용자의 동의 없이 사용자 정보를 수집하는 프로그램으로 스파이웨어라고도 함,SW 관련 신기술,trackware
온톨리지,"인간뿐만 아니라 컴퓨터도 정보를 이해할 수 있도록 해주는 개념화 명세로서, 단어와 관계들로 구성된 일종의 사전을 의미",SW 관련 신기술,ontology
증발품,판매 계획 또는 배포 계획은 발표되었으나 실제로 고객에게 판매되거나 배포되지 않고 있는 소프트웨어,SW 관련 신기술,Vaporware
OGSA,"애플리케이션 공유를 위한 웹 서비스를 그리드 상에서 제공하기 위해 만든 개방형 표준, 웹 서비스 표준을 적극적으로 따르고 기존 웹 개발 툴들을 그대로 사용할 수 있다는 장점 있음",SW 관련 신기술,Open Grid Service Architecture
Grid,한 번에 한 곳만 연결할 수 있던 기존의 웹과는 달리 동시에 여러 곳에 연결할 수 있는 인터넷 망 구조,SW 관련 신기술,
SOA,"기업의 소프트웨어 인프라인 정보시스템을 공유와 재사용이 가능한 서비스 단위나 컴포넌트 중심으로 구축하는 정보기술 아키텍처이다. 기업의 IT 시스템을 비즈니스에 맞춰 유연하게 사용할 수 있다는 것이 장점.  표현 계층, 업무 프로세스 계층, 서비스 중간 계층, 애플리케이션 계층, 데이터 저장 계층으로 구분함",SW 관련 신기술,Service Oriented Architecture
SaaS,"소프트웨어의 여러 기능 중에서 사용자가 필요로 하는 서비스만 이용할 수 있도록 한 소프트웨어, 공급업체가 하나의 플랫폼을 이용해 다수의 고객에게 소프트웨어 서비스를 제공하고 사용자는 이용한 만큼 돈을 지급하는 방식",SW 관련 신기술,Software as a Servicee
